"","title","author","source","abstract","keywords","research_areas","year"
"118","Onshore Wind Speed Modulates Microbial Aerosols along an Urban Waterfront","Dueker, ME and O'Mullan, GD and Martinez, JM and Juhl, AR and Weathers, KC","ATMOSPHERE","Wind blowing over aquatic and terrestrial surfaces produces aerosols, which include microbial aerosols. We studied the effect of onshore wind speeds on aerosol concentrations as well as total and culturable microbial aerosols (bacterial and viral) at an urban waterfront (New York, NY, USA). We used two distinct methods to characterize microbial aerosol responses to wind speed: A culture-based exposure-plate method measuring viable bacterial deposition near-shore (CFU accumulation rate); and a culture-independent aerosol sampler-based method measuring total bacterial and viral aerosols (cells m(-3) air). While ambient coarse (>2 mu m) and fine (0.3-2 mu m) aerosol particle number concentrations (regulated indicators of air quality) decreased with increasing onshore wind speeds, total and depositing culturable bacterial aerosols and total viral aerosols increased. Taxonomic identification of the 16S rDNA of bacterial aerosol isolates suggested both terrestrial and aquatic sources. Wind appears to increase microbial aerosol number concentrations in the near-shore environment by onshore transport at low wind speeds (<4 m s(-1)), and increased local production and transport of new microbial aerosols from adjacent water surfaces at higher wind speeds (>4 m s(-1)). This study demonstrates a wind-modulated microbial connection between water and air in the coastal urban environment, with implications for public health management and urban microbial ecology.","bacteria; virus; viral particle; air quality; water quality; coastal","Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences","2017"
"119","Genetic diversity of environmental Vibrio cholerae O1 strains isolated in Northern Vietnam","Takemura, T and Murase, K and Maruyama, F and Tran, TL and Ota, A and Nakagawa, I and Nguyen, DT and Ngo, TC and Nguyen, TH and Tokizawa, A and Morita, M and Ohnishi, M and Nguyen, BM and Yamashiro, T","INFECTION GENETICS AND EVOLUTION","Cholera epidemics have been recorded periodically in Vietnam during the seventh cholera pandemic. Since cholera is a water-borne disease, systematic monitoring of environmental waters for Vibrio cholerae presence is important for predicting and preventing cholera epidemics. We conducted monitoring, isolation, and genetic characterization of V. cholerae strains in Nam Dinh province of Northern Vietnam from Jul 2013 to Feb 2015. In this study, four V. cholerae O1 strains were detected and isolated from 110 analyzed water samples (3.6%); however, none of them carried the cholera toxin gene, ctxA, in their genomes. Whole genome sequencing and phylogenetic analysis revealed that the four O1 isolates were separated into two independent clusters, and one of them diverged from a common ancestor with pandemic strains. The analysis of pathogenicity islands (CTX prophage, VPI-I, VPI-II, VSP-I, and VSP-II) indicated that one strain (VNND_2014Jun_6SS) harbored an unknown prophage-like sequence with high homology to vibriophage KSF-1 phi and VCY phi, identified from Bangladesh and the USA, respectively, while the other three strains carried tcpA gene with a distinct sequence demonstrating a separate clonal lineage. These results suggest that the aquatic environment can harbor highly divergent V. cholera strains and serve as a reservoir for multiple V. cholerae virulence-associated genes which may be exchanged via mobile genetic elements. Therefore, continuous monitoring and genetic characterization of V. cholerae strains in the environment should contribute to the early detection of the sources of infection and prevention of cholera outbreaks as well as to understanding the natural ecology and evolution of V. cholerae. (C) 2017 The Authors. Published by Elsevier B.V.","Vibrio cholerae O1 strains; Environment; Virulence; Northern Vietnam","Infectious Diseases","2017"
"120","Isolation and Characterization of Metallosphaera Turreted Icosahedral Virus, a Founding Member of a New Family of Archaeal Viruses","Wagner, C and Reddy, V and Asturias, F and Khoshouei, M and Johnson, JE and Manrique, P and Munson-McGee, J and Baumeister, W and Lawrence, CM and Young, MJ","JOURNAL OF VIROLOGY","Our understanding of archaeal virus diversity and structure is just beginning to emerge. Here we describe a new archaeal virus, tentatively named Metallosphaera turreted icosahedral virus (MTIV), that was isolated from an acidic hot spring in Yellowstone National Park, USA. Two strains of the virus were identified and were found to replicate in an archaeal host species closely related to Metallosphaera yellowstonensis. Each strain encodes a 9.8-to 9.9-kb linear double-stranded DNA (dsDNA) genome with large inverted terminal repeats. Each genome encodes 21 open reading frames (ORFs). The ORFs display high homology between the strains, but they are quite distinct from other known viral genes. The 70-nm-diameter virion is built on a T = 28 icosahedral lattice. Both single particle cryoelectron microscopy and cryotomography reconstructions reveal an unusual structure that has 42 turret-like projections: 12 pentameric turrets positioned on the icosahedral 5-fold axes and 30 turrets with apparent hexameric symmetry positioned on the icosahedral 2-fold axes. Both the virion structural properties and the genome content support MTIV as the founding member of a new family of archaeal viruses. IMPORTANCE Many archaeal viruses are quite different from viruses infecting bacteria and eukaryotes. Initial characterization of MTIV reveals a virus distinct from other known bacterial, eukaryotic, and archaeal viruses; this finding suggests that viruses infecting Archaea are still an understudied group. As the first known virus infecting a Metallosphaera sp., MTIV provides a new system for exploring archaeal virology by examining host-virus interactions and the unique features of MTIV structure-function relationships. These studies will likely expand our understanding of virus ecology and evolution.","Archaea; archaeal virus; crenarchaeal; cryo-electron microscopy; and environmental virology; extremophiles; viruses in extreme environments","Virology","2017"
"121","Bacterial Lipopolysaccharide Destabilizes Influenza Viruses","Bandoro, C and Runstadler, JA","MSPHERE","Depending on the specific viral pathogen, commensal bacteria can promote or reduce the severity of viral infection and disease progression in their hosts. Influenza A virus (IAV) has a broad host range, comprises many subtypes, and utilizes different routes of transmission, including the fecal-oral route in wild birds. It has been previously demonstrated that commensal bacteria can interact with the host's immune system to protect against IAV pathogenesis. However, it is unclear whether bacteria and their products may be interacting directly with IAV to impact virion stability. Herein we show that gastrointestinal (GI) tract bacterial isolates in an in vitro system significantly reduce the stability of IAV. Moreover, bacterial lipopolysaccharide (LPS), found on the exterior surfaces of bacteria, was sufficient to significantly decrease the stability of both human and avian viral strains in a temperature-dependent manner, including at the relevant temperatures of their respective hosts and the external aquatic habitat. The subtype and host origin of the viruses were shown to affect the extent to which IAV was susceptible to LPS. Furthermore, using a receptor binding assay and transmission electron microscopy, we observed that LPS binds to and alters the morphology of influenza virions, suggesting that direct interaction with the viral surface contributes to the observed antiviral effect of LPS on influenza. IMPORTANCE Influenza A virus (IAV), transmitted primarily via the fecal-oral route in wild birds, encounters high concentrations of bacteria and their products. Understanding the extent to which bacteria affect the infectivity of IAV will lead to a broader understanding of viral ecology in reservoir hosts and may lead to insights for the development of therapeutics in respiratory infection. Herein we show that bacteria and lipopolysaccharide (LPS) interact with and destabilize influenza virions. Moreover, we show that LPS reduces the long-term persistence and freeze-thaw stability of IAV, which is important information for modeling the movement and emergence of novel strains from animal hosts. Our results, demonstrating that the subtype and host origin of a virus also influence its susceptibility to LPS, raise key questions about the fitness of viruses in reservoir hosts, their potential to transmit to humans, and the importance of bacterial-viral interactions in viral ecology.","bacteria; environmental microbiology; influenza; lipopolysaccharide; and microbiome; virology","Microbiology","2017"
"122","Survival of Highly Pathogenic Avian Influenza H5N1 Virus in Tissues Derived from Experimentally Infected Chickens","Yamamoto, Y and Nakamura, K and Mase, M","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","Eurasian lineage highly pathogenic avian influenza (HPAI) H5N1 virus has been a severe threat to the poultry industry since its emergence in 1996. The carcass or tissues derived from infected birds may present the risk of the virus spreading to humans, animals, and the surrounding environment. In this study, we investigated the survival of the virus in feather, muscle, and liver tissues collected from six chickens (Gallus gallus) experimentally infected with HPAI H5N1 virus. The tissues were stored at +4 degrees C or +20 degrees C, and viral isolation was performed at different times for 360 days. The maximum periods for viral survival were observed in samples stored at +4 degrees C in all tissue types and were 240 days in feather tissues, 160 days in muscle, and 20 days in liver. The viral infectivity at +20 degrees C was maintained for a maximum of 30 days in the feather tissues, 20 days in muscle, and 3 days in liver. The viral inactivation rates partly overlapped in the feather and muscle tissues at the two temperatures. The virus was inactivated rapidly in the liver. Our experimental results indicate that the tissue type and temperature can greatly influence the survival of HPAI H5N1 virus in the tissues of infected chickens. IMPORTANCE Highly pathogenic avian influenza virus of the H5N1 subtype can cause massive losses of poultry, and people need to handle a large number of chicken carcasses contaminated with the virus at outbreak sites. This study evaluated how long the virus can keep its infectivity in the three types of tissues derived from chickens infected with the virus. Our experimental results indicate that the virus can survive in tissues for a specific period of time depending on the tissue type and temperature. Our results are valuable for better understanding of viral ecology in the environment and for reducing the risk of the virus spreading via bird tissues contaminated with the virus.","chicken; H5N1 subtype; influenza A virus; survival; tissue","Biotechnology & Applied Microbiology; Microbiology","2017"
"123","Comparative Omics and Trait Analyses of Marine Pseudoalteromonas Phages Advance the Phage OTU Concept","Duhaime, MB and Solonenko, N and Roux, S and Verberkmoes, NC and Wichels, A and Sullivan, MB","FRONTIERS IN MICROBIOLOGY","Viruses influence the ecology and evolutionary trajectory of microbial communities. Yet our understanding of their roles in ecosystems is limited by the paucity of model systems available for hypothesis generation and testing. Further, virology is limited by the lack of a broadly accepted conceptual framework to classify viral diversity into evolutionary and ecologically cohesive units. Here, we introduce genomes, structural proteomes, and quantitative host range data for eight Pseudoalteromonas phages isolated from Helgoland (North Sea, Germany) and use these data to advance a genome-based viral operational taxonomic unit (OTU) definition. These viruses represent five new genera and inform 498 unaffiliated or unannotated protein clusters (PCs) from global virus metagenomes. In a comparison of previously sequenced Pseudoalteromonas phage isolates (n = 7) and predicted prophages (n = 31), the eight phages are unique. They share a genus with only one other isolate, Pseudoalteromonas podophage RIO-1 (East Sea, South Korea) and two Pseudoalteromonas prophages. Mass-spectrometry of purified viral particles identified 12-20 structural proteins per phage. When combined with 3-D structural predictions, these data led to the functional characterization of five previously unidentified major capsid proteins. Protein functional predictions revealed mechanisms for hijacking host metabolism and resources. Further, they uncovered a hybrid sipho-myovirus that encodes genes for Mu-like infection rarely described in ocean systems. Finally, we used these data to evaluate a recently introduced definition for virus populations that requires members of the same population to have >95% average nucleotide identity across at least 80% of their genes. Using physiological traits and genomics, we proposed a conceptual model for a viral OTU definition that captures evolutionarily cohesive and ecologically distinct units. In this trait-based framework, sensitive hosts are considered viral niches, while host ranges and infection efficiencies are tracked as viral traits. Quantitative host range assays revealed conserved traits within virus OTUs that break down between OTUs, suggesting the defined units capture niche and fitness differentiation. Together these analyses provide a foundation for model system-based hypothesis testing that will improve our understanding of marine copiotrophs, as well as phage-host interactions on the ocean particles and aggregates where Pseudoalteromonas thrive.","phage; marine microbiology; particle-associated; comparative genomics; and Pseudoalteromonas","Microbiology","2017"
"124","Viromes As Genetic Reservoir for the Microbial Communities in Aquatic Environments: A Focus on Antimicrobial-Resistance Genes","Colombo, S and Arioli, S and Neri, E and Della Scala, G and Gargari, G and Mora, D","FRONTIERS IN MICROBIOLOGY","Despite studies of viromes isolated from aquatic environments are becoming increasingly frequent, most of them are limited to the characterization of viral taxonomy. Bacterial reads in viromes are abundant but the extent to which this genetic material is playing a role in the ecology of aquatic microbiology remains unclear. To this aim, we developed of a useful approach for the characterization of viral and microbial communities of aquatic environments with a particular focus on the identification of microbial genes harbored in the viromes. Virus-like particles were isolated from water samples collected across the Lambro River, from the spring to the high urbanized Milan area. The derived viromes were analyzed by shotgun metagenomic sequencing looking for the presence, relative abundance of bacterial genes with particular focus on those genes involved in antimicrobial resistance mechanisms. Antibiotic and heavy metal resistance genes have been identified in all virome samples together with a high abundance of reads assigned to cellular processes and signaling. Virome data compared to those identified in the microbiome isolated from the same sample revealed differences in terms of functional categories and their relative abundance. To verify the role of aquatic viral population in bacterial gene transfer, water-based mesocosms were perturbed or not perturbed with a low dose of tetracycline. The results obtained by qPCR assays revealed variation in abundance of tet genes in the virome and microbiome highlighting a relevant role of viral populations in microbial gene mobilization.","virome; microbiome; antimicrobial resistance genes; mesocosms; Lambro and River","Microbiology","2017"
"125","Isolation and characterization of the first phage infecting ecologically important marine bacteria Erythrobacter","Lu, LF and Cai, LL and Jiao, NZ and Zhang, R","VIROLOGY JOURNAL","Background: Erythrobacter comprises a widespread and ecologically significant genus of marine bacteria. However, no phage infecting Erythrobacter spp. has been reported to date. This study describes the isolation and characterization of phage vB_EliS-R6L from Erythrobacter. Methods: Standard virus enrichment and double-layer agar methods were used to isolate and characterize the phage. Morphology was observed by transmission electron microscopy, and a one-step growth curve assay was performed. The phage genome was sequenced using the Illumina Miseq platform and annotated using standard bioinformatics tools. Phylogenetic analyses were performed based on the deduced amino acid sequences of terminase, endolysin, portal protein, and major capsid protein, and genome recruitment analysis was conducted using Jiulong River Estuary Virome, Pacific Ocean Virome and Global Ocean Survey databases. Results: A novel phage, vB_EliS-R6L, from coastal waters of Xiamen, China, was isolated and found to infect the marine bacterium Erythrobacter litoralis DSM 8509. Morphological observation and genome analysis revealed that phage vB_EliS-R6L is a siphovirus with a 65.7-kb genome that encodes 108 putative gene products. The phage exhibits growth at a wide range of temperature and pH conditions. Genes encoding five methylase-related proteins were found in the genome, and recognition site predictions suggested its resistance to restriction-modification host systems. Genomic comparisons and phylogenetic analyses indicate that phage vB_EliS-R6L is distinct from other known phages. Metagenomic recruitment analysis revealed that vB_EliS-R6L like phages are widespread in marine environments, with likely distribution in coastal waters. Conclusions: Isolation of the first Erythrobacter phage (vB_EliS-R6L) will contribute to our understanding of host-phage interactions, the ecology of marine Erythrobacter and viral metagenome annotation efforts.","Erythrobacter; Marine; Siphovirus; Complete genome sequence","Virology","2017"
"126","A Novel Roseosiphophage Isolated from the Oligotrophic South China Sea","Yang, YL and Cai, LL and Ma, RJ and Xu, YL and Tong, YG and Huang, Y and Jiao, NZ and Zhang, R","VIRUSES-BASEL","The Roseobacter clade is abundant and widespread in marine environments and plays an important role in oceanic biogeochemical cycling. In this present study, a lytic siphophage (labeled vB_DshS-R5C) infecting the strain type of Dinoroseobacter shibae named DFL12(T), which is part of the Roseobacter clade, was isolated from the oligotrophic South China Sea. Phage R5C showed a narrow host range, short latent period and low burst size. The genome length of phage R5C was 77, 874 bp with a G+C content of 61.5%. Genomic comparisons detected no genome matches in the GenBank database and phylogenetic analysis based on DNA polymerase I revealed phylogenetic features that were distinct to other phages, suggesting the novelty of R5C. Several auxiliary metabolic genes (e.g., phoH gene, heat shock protein and queuosine biosynthesis genes) were identified in the R5C genome that may be beneficial to the host and/or offer a competitive advantage for the phage. Among siphophages infecting the Roseobacter clade (roseosiphophages), four gene transfer agent- like genes were commonly located with close proximity to structural genes, suggesting that their function may be related to the tail of siphoviruses. The isolation and characterization of R5C demonstrated the high genomic and physiological diversity of roseophages as well as improved our understanding of host-phage interactions and the ecology of the marine Roseobacter.","roseophage; genome; phylogenetic analysis; environmental distribution","Virology","2017"
"127","Genomic characterization of two novel pathogenic avipoxviruses isolated from pacific shearwaters (Ardenna spp.)","Sarker, S and Das, S and Lavers, JL and Hutton, I and Helbig, K and Imbery, J and Upton, C and Raidal, SR","BMC GENOMICS","Background: Over the past 20 years, many marine seabird populations have been gradually declining and the factors driving this ongoing deterioration are not always well understood. Avipoxvirus infections have been found in a wide range of bird species worldwide, however, very little is known about the disease ecology of avian poxviruses in seabirds. Here we present two novel avipoxviruses from pacific shearwaters (Ardenna spp), one from a Flesh-footed Shearwater (A. carneipes) (SWPV-1) and the other from a Wedge-tailed Shearwater (A. pacificus) (SWPV-2). Results: Epidermal pox lesions, liver, and blood samples were examined from A. carneipes and A. pacificus of breeding colonies in eastern Australia. After histopathological confirmation of the disease, PCR screening was conducted for avipoxvirus, circovirus, reticuloendotheliosis virus, and fungal agents. Two samples that were PCR positive for poxvirus were further assessed by next generation sequencing, which yielded complete Shearwaterpox virus (SWPV) genomes from A. pacificus and A. carneipes, both showing the highest degree of similarity with Canarypox virus (98% and 67%, respectively). The novel SWPV-1 complete genome from A. carneipes is missing 43 genes compared to CNPV and contains 4 predicted genes which are not found in any other poxvirus, whilst, SWPV-2 complete genome was deemed to be missing 18 genes compared to CNPV and a further 15 genes significantly fragmented as to probably cause them to be non-functional. Conclusion: These are the first avipoxvirus complete genome sequences that infect marine seabirds. In the comparison of SWPV-1 and -2 to existing avipoxvirus sequences, our results indicate that the SWPV complete genome from A. carneipes (SWPV-1) described here is not closely related to any other avipoxvirus genome isolated from avian or other natural host species, and that it likely should be considered a separate species.","Avipoxvirus; Poxvirus; Next generation sequencing; dermatitis; Ardenna; and Shearwater","Biotechnology & Applied Microbiology; Genetics & Heredity","2017"
"128","Seasonal Dynamics of Haptophytes and dsDNA Algal Viruses Suggest Complex Virus-Host Relationship","Johannessen, TV and Larsen, A and Bratbak, G and Pagarete, A and Edvardsen, B and Egge, ED and Sandaa, RA","VIRUSES-BASEL","Viruses influence the ecology and diversity of phytoplankton in the ocean. Most studies of phytoplankton host-virus interactions have focused on bloom-forming species like Emiliania huxleyi or Phaeocystis spp. The role of viruses infecting phytoplankton that do not form conspicuous blooms have received less attention. Here we explore the dynamics of phytoplankton and algal viruses over several sequential seasons, with a focus on the ubiquitous and diverse phytoplankton division Haptophyta, and their double-stranded DNA viruses, potentially with the capacity to infect the haptophytes. Viral and phytoplankton abundance and diversity showed recurrent seasonal changes, mainly explained by hydrographic conditions. By 454 tag-sequencing we revealed 93 unique haptophyte operational taxonomic units (OTUs), with seasonal changes in abundance. Sixty-one unique viral OTUs, representing Megaviridae and Phycodnaviridae, showed only distant relationship with currently isolated algal viruses. Haptophyte and virus community composition and diversity varied substantially throughout the year, but in an uncoordinated manner. A minority of the viral OTUs were highly abundant at specific time-points, indicating a boom-bust relationship with their host. Most of the viral OTUs were very persistent, which may represent viruses that coexist with their hosts, or able to exploit several host species.","Haptophyta; Phycodnaviridae; Megaviridae; viral-host interactions; and metagenomics; marine viral ecology","Virology","2017"
"129","Determining virus-host interactions and glycerol metabolism profiles in geographically diverse solar salterns with metagenomics","Moller, AG and Liang, C","PEERJ","Solar salterns are excellent model ecosystems for studying virus-microbial interactions because of their low microbial diversity, environmental stability, and high viral density. By using the power of CRISPR, spacers to link viruses to their prokaryotic hosts, we. explored virus-host interactions in geographically diverse salterns. Using taxonomic profiling, we identified hosts such as archaeal Haloquadratum, Halorubrum, and Haloarcula and bacterial Salinibacter, and we found that community composition related to not only salinity but also local environmental dynamics. Characterizing glycerol metabolism genes in these metagenomes suggested Halorubrum and Haloquadratum possess most dihydroxyacetone kinase genes while Salinibacter possesses most glycerol 3-phosphate dehydrogenase genes. Using two different methods, we detected fewer CRISPR spacers in Haloquadratum-dominated compared with Halobacteriaceae-dominated saltern metagenomes. After CRISPR detection, spacers were aligned against haloviral genomes to map virus to host. While most alignments for each saltern metagenome linked viruses to Haloquadraturn walsbyi, there were also alignments indicating interactions with the low abundance taxa Haloarcula and Haloferax. Further examination of the dinucleotide and trinucleotide usage differences between paired viruses and their hosts confirmed viruses and hosts had similar nucleotide usage signatures. Detection of cas genes in the salterns supported the Possibility of CRISPR activity. Taken together, our studies suggest similar virus-host interactions exist in different solar salterns and that the glycerol metabolism gene dihydroxyacetone kinase s associated with Haloquadratum and Halorubrum.","CRISPR; Hypersaline ecosystems; Metagenomics; Microbial ecology; and Halophiles; Viral shunt; Bioinformatics; Extremophiles; Environmental and genomics; Viruses","Science & Technology - Other Topics","2017"
"130","Newly isolated Nodularia phage influences cyanobacterial community dynamics","Coloma, SE and Dienstbier, A and Bamford, DH and Sivonen, K and Roine, E and Hiltunen, T","ENVIRONMENTAL MICROBIOLOGY","Cyanophages, that is, viruses infecting cyanobacteria, are a key component driving cyanobacterial community dynamics both ecologically and evolutionarily. In addition to reducing biomass and influencing the genetic diversity of their host populations, they can also have a wider community-level impact due to the release of nutrients by phage-induced cell lysis. In this study, we isolated and characterized a new cyanophage, a siphophage designated as vB_NpeS-2AV2, capable of infecting the filamentous nitrogen fixing cyanobacterium Nodularia sp. AV2 with a lytic cycle between 12 and 18 hours. The role of the phage in the ecology of its host Nodularia and competitor Synechococcus was investigated in a set of microcosm experiments. Initially, phage-induced cell lysis decreased the number of Nodularia cells in the cultures. However, around 18%-27% of the population was resistant against the phage infection. Nitrogen was released from the Nodularia cells as a consequence of phage activity, resulting in a seven-fold increase in Synechococcus cell density. In conclusion, the presence of the cyanophage vB_NpeS-2AV2 altered the ecological dynamics in the cyanobacterial community and induced evolutionary changes in the Nodularia population, causing the evolution from a population dominated by susceptible cells to a population dominated by resistant ones.",NA,"Microbiology","2017"
"131","Characterization of the first double-stranded RNA bacteriophage infecting Pseudomonas aeruginosa","Yang, YH and Lu, SG and Shen, W and Zhao, X and Shen, MY and Tan, YL and Li, G and Li, M and Wang, J and Hu, FQ and Le, S","SCIENTIFIC REPORTS","Bacteriophages (phages) are widely distributed in the biosphere and play a key role in modulating microbial ecology in the soil, ocean, and humans. Although the role of DNA bacteriophages is well described, the biology of RNA bacteriophages is poorly understood. More than 1900 phage genomes are currently deposited in NCBI, but only 6 dsRNA bacteriophages and 12 ssRNA bacteriophages genome sequences are reported. The 6 dsRNA bacteriophages were isolated from legume samples or lakes with Pseudomonas syringae as the host. Here, we report the first Pseudomonas aeruginosa phage phiYY with a three- segmented dsRNA genome. phiYY was isolated from hospital sewage in China with the clinical P. aeruginosa strain, PAO38, as a host. Moreover, the dsRNA phage phiYY has a broad host range, which infects 99 out of 233 clinical P. aeruginosa strains isolated from four provinces in China. This work presented a detailed characterization of the dsRNA bacteriophage infecting P. aeruginosa.",NA,"Science & Technology - Other Topics","2016"
"132","Evolutionary interpretations of mycobacteriophage biodiversity and host-range through the analysis of codon usage bias","Esposito, LA and Gupta, S and Streiter, F and Prasad, A and Dennehy, JJ","MICROBIAL GENOMICS","In an genomics course sponsored by the Howard Hughes Medical Institute (HHMI), undergraduate students have isolated and sequenced the genomes of more than 1,150 mycobacteriophages, creating the largest database of sequenced bacteriophages able to infect a single host, Mycobacterium smegmatis, a soil bacterium. Genomic analysis indicates that these mycobacteriophages can be grouped into 26 clusters based on genetic similarity. These clusters span a continuum of genetic diversity, with extensive genomic mosaicism among phages in different clusters. However, little is known regarding the primary hosts of these mycobacteriophages in their natural habitats, nor of their broader host ranges. As such, it is possible that the primary host of many newly isolated mycobacteriophages is not M. smegmatis, but instead a range of closely related bacterial species. However, determining mycobacteriophage host range presents difficulties associated with mycobacterial cultivability, pathogenicity and growth. Another way to gain insight into mycobacteriophage host range and ecology is through bioinformatic analysis of their genomic sequences. To this end, we examined the correlations between the codon usage biases of 199 different mycobacteriophages and those of several fully sequenced mycobacterial species in order to gain insight into the natural host range of these mycobacteriophages. We find that UPGMA clustering tends to match, but not consistently, clustering by shared nucleotide sequence identify. In addition, analysis of GC content, tRNA usage and correlations between mycobacteriophage and mycobacterial codon usage bias suggests that the preferred host of many clustered mycobacteriophages is not M. smegmatis but other, as yet unknown, members of the mycobacteria complex or closely allied bacterial species.","bacteriophages; codon bias; host range; mycobacteria; UPGMA clustering; and viral tRNAs","Genetics & Heredity; Microbiology","2016"
"133","Characterization of H7N2 Avian Influenza Virus in Wild Birds and Pikas in Qinghai-Tibet Plateau Area","Su, SO and Xing, G and Wang, JH and Li, ZK and Gu, JY and Yan, LP and Lei, J and Ji, SL and Hu, BL and Gray, GC and Yan, Y and Zhou, JY","SCIENTIFIC REPORTS","Qinghai Lake is a major migrating bird breeding site that has experienced several recent highly pathogenic avian influenza virus (HPAIV) epizootics. From 2006 to 2009 we studied Qinghai's wild birds and pikas for evidence of AIV infections. We sampled 941 healthy wild animals and isolated seventeen H7N2 viruses (eight from pikas and nine from wild birds). The H7N2 viruses were phylogenetically closely related to each other and to viruses isolated in Hong Kong in the 1970s. We determined the pathogenicity of the H7N2 viruses by infecting chickens and mice. Our results suggest that pikas might play an important role in the ecology of AIVs, acting as intermediate hosts in which viruses become more adapted to mammals. Our findings of AI infection in pikas are consistent with previous observations and raise the possibility that pikas might play a previously unrecognized role in the ecology of AIVs peridomestic aquatic environments.",NA,"Science & Technology - Other Topics","2016"
"134","Diversity and comparative genomics of chimeric viruses in Sphagnum-dominated peatlands","Quaiser, A and Krupovic, M and Dufresne, A and Francez, AJ and Roux, S","VIRUS EVOLUTION","A new group of viruses carrying naturally chimeric single-stranded (ss) DNA genomes that encompass genes derived from eukaryotic ssRNA and ssDNA viruses has been recently identified by metagenomic studies. The host range, genomic diversity, and abundance of these chimeric viruses, referred to as cruciviruses, remain largely unknown. In this article, we assembled and analyzed thirty-seven new crucivirus genomes from twelve peat viromes, representing twenty-four distinct genome organizations, and nearly tripling the number of available genomes for this group. All genomes possess the two characteristic genes encoding for the conserved capsid protein (CP) and a replication protein. Additional ORFs were conserved only in nearly identical genomes with no detectable similarity to known genes. Two cruciviruses possess putative introns in their replication-associated genes. Sequence and phylogenetic analyses of the replication proteins revealed intragene chimerism in at least eight chimeric genomes. This highlights the large extent of horizontal gene transfer and recombination events in the evolution of ssDNA viruses, as previously suggested. Read mapping analysis revealed that members of the 'Cruciviridae' group are particularly prevalent in peat viromes. Sequences matching the CP ranged from 0.6 up to 10.9 percent in the twelve peat viromes. In contrast, from sixty-nine available viromes derived from other environments, only twenty-four contained cruciviruses, which on average accounted for merely 0.2 percent of sequences. Overall, this study provides new genome information and insights into the diversity of chimeric viruses, a necessary first step in progressing toward an accurate quantification and host range identification of these new viruses.","virus ecology; viral metagenomics; virus diversity; ssDNA viruses","Virology","2016"
"135","Ecophysiological Distinctions of Haloarchaea from a Hypersaline Antarctic Lake as Determined by Metaproteomics","Tschitschko, B and Williams, TJ and Allen, MA and Zhong, L and Raftery, MJ and Cavicchioli, R","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","Deep Lake in the Vestfold Hills is hypersaline and the coldest system in Antarctica known to support microbial growth (temperatures as low as -20 degrees C). It represents a strong experimental model because the lake supports a low-complexity community of haloarchaea, with the three most abundant species totaling similar to 72%. Moreover, the dominant haloarchaea are cultivatable, and their genomes are sequenced. Here we use metaproteomics linked to metagenome data and the genome sequences of the isolates to characterize the main pathways, trophic strategies, and interactions associated with resource utilization. The dominance of the most abundant member, Halohasta litchfieldiae, appears to be predicated on competitive utilization of substrates (e.g., starch, glycerol, and dihydroxyacetone) produced by Dunaliella, the lake's primary producer, while also possessing diverse mechanisms for acquiring nitrogen and phosphorus. The second most abundant member, strain DL31, is proficient in degrading complex proteinaceous matter. Hht. litchfieldiae and DL31 are inferred to release labile substrates that are utilized by Halorubrum lacusprofundi, the third most abundant haloarchaeon in Deep Lake. The study also linked genome variation to specific protein variants or distinct genetic capacities, thereby identifying strain-level variation indicative of specialization. Overall, metaproteomics revealed that rather than functional differences occurring at different lake depths or through size partitioning, the main lake genera possess major trophic distinctions, and phylotypes (e.g., strains of Hht. litchfieldiae) exhibit a more subtle level of specialization. This study highlights the extent to which the lake supports a relatively uniform distribution of taxa that collectively possess the genetic capacity to effectively exploit available nutrients throughout the lake.",NA,"Biotechnology & Applied Microbiology; Microbiology","2016"
"136","Pseudo-nitzschia Challenged with Co-occurring Viral Communities Display Diverse Infection Phenotypes","Carlson, MCG and McCary, ND and Leach, TS and Rocap, G","FRONTIERS IN MICROBIOLOGY","Viruses are catalysts of biogeochemical cycling, architects of microbial community structure, and terminators of phytoplankton blooms. Viral lysis of diatoms, a key group of eukaryotic phytoplankton, has the potential to impact carbon export and marine food webs. However, the impact of viruses on diatom abundance and community composition is unknown. Diatom-virus dynamics were explored by sampling every month at two coastal and estuarine locations in Washington state, USA resulting in 41 new isolates of the pennate diatom Pseudo-nitzschia and 20 environmental virus samples. We conducted a total of 820 pair-wise crosses of the Pseudo-nitzschia isolates and viral communities. Viral communities infected Pseudo-nitzschia isolates in 8% of the crosses overall and 16% of crosses when the host and viral communities were isolated from the same sample. Isolates ranged in their permissivity to infection with some isolates not infected by any viral samples and others infected by up to 10 viral communities. Isolates that were infected by the most viral communities also had the highest maximum observed viral titers (as high as 16000 infectious units m1-1). Titers of the viral communities were host dependent, as titers for one viral sample on eight different hosts spanned four orders of magnitude. Sequencing of the Pseudonitzschla Internal Transcribed Spacer 1 (ITS1) of the revealed multiple subgroups of hosts with 100% ITS1 identities that were infected by different viral communities. Indeed, we repeatedly isolated groups of isolates with identical ITS1 sequences from the same water sample that displayed different viral infection phenotypes. The interactions between Pseudo-nitzschia and the viral communities highlight the diversity of diatoms and emphasize the complexity and variability of diatom-virus dynamics in the ocean.","diatom; phytoplankton; Pseudo-nitzschia; virus; microdiversity; titer; and harmful algal bloom","Microbiology","2016"
