Title,Author(s),Journal,Year,DOI,Environment ,Phage Type,All Software Used,Sequence Analysis Pipeline,Phage Taxa,Notes
Genomic characterization provides new insight into Salmonella phage diversity,"Switt, AIM and Orsi, RH and den Bakker, HC and Vongkamjan, K and Altier, C and Wiedmann, M",BMC Genomics,2013,https://doi.org/10.1186/1471-2164-14-481,fecal,dsDNA,"PGAAP,OrthoMCL,Mauve,MegAlign,ClustalW",manual,mixed,
Genomic Sequences of two Novel Levivirus Single-Stranded RNA Coliphages (Family Leviviridae): Evidence for Recombination in Environmental Strains,"Friedman, SD and Snellgrove, WC and Genthner, FJ",Viruses,2012,https://doi.org/10.3390/v4091548,marine,ssRNA,"ExPASY,PROSITE,Pfam,BioNumerics Software v.3.5,BioEdit,SimPlot,Recombination Analysis Tool",manual,Leviviridae,
Unveiling the transcriptional features associated with coccolithovirus infection of natural Emiliania huxleyi blooms,"Pagarete, A and Le Corguille, G and Tiwari, B and Ogata, H and de Vargas, C and Wilson, WH and Allen, MJ",FEMS Microbiology Ecology,2011,https://doi.org/10.1111/j.1574-6941.2011.01191.x,marine,dsDNA,"BLASTx,RPS-BLAST",NA,Phycodnaviridae,
Genome Sequencing Reveals a Phage in Helicobacter pylori,"Lehours, P and Vale, FF and Bjursell, MK and Melefors, O and Advani, R and Glavas, S and Guegueniat, J and Gontier, E and Lacomme, S and Matos, AA and Menard, A and Megraud, F and Engstrand, L and Andersson, AF",mBio,2011,https://doi.org/10.1128/mBio.00239-11,fecal,dsDNA,"MEGA3,BLAST",manual,Podoviridae,
Using CRISPRs as a metagenomic tool to identify microbial hosts of a diffuse flow hydrothermal vent viral assemblage,"Anderson, RE and Brazelton, WJ and Baross, JA",FEMS Microbiology Ecology,2011,https://doi.org/10.1111/j.1574-6941.2011.01090.x,hydrothermal vent,dsDNA,"MG-RAST,Geneious,TBLASTX,CAMERA",manual,mixed,
"Spread of the Emerging Viral Hemorrhagic Septicemia Virus Strain, Genotype IVb, in Michigan, USA","Faisal, M and Shavalier, M and Kim, RK and Millard, EV and Gunn, MR and Winters, AD and Schulz, CA and Eissa, A and Thomas, MV and Wolgamood, M and Whelan, GE and Winton, J",Viruses,2012,https://doi.org/10.3390/v4050734,animal tissue,nsRNA,NA,NA,Rhabdoviridae,"Sequencing done by outside lab, looking specifically for VHSV in trout "
Bacteriophage predation regulates microbial abundance and diversity in a full-scale bioreactor treating industrial wastewater,"Shapiro, OH and Kushmaro, A and Brenner, A",ISME Journal,2010,https://doi.org/10.3390/pathogens10050612,wastewater,NA,"MUSCLE,MEGA4,DOTUR,SONS",manual,NA,"Taxonomy provided for host only, viral sequences were used as OTUs"
Factors associated with mosquito pool positivity and the characterization of the West Nile viruses found within Louisiana during 2007,"Christofferson, RC and Roy, AF and Mores, CN",Virology,2010,https://doi.org/10.1186/1743-422X-7-139,animal tissue,psRNA,"Vector NTI,MEGA4,GeneDoc",manual,Flaviviridae,
Ecology of coliphages in southern California coastal waters,"Reyes, VC and Jiang, SC",Journal of Applied Microbiology,2010, https://doi.org/10.1111/j.1365-2672.2010.04676.x,"wastewater, marine",dsDNA,NA,NA,mixed,No sequencing
"A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks","Teffer, AK and Carr, J and Tabata, A and Schulze, A and Bradbury, I and Deschamps, D and Gillis, CA and Brunsdon, EB and Mordecai, G and Miller, KM",Facets,2020,https://doi.org/10.1139/facets-2019-0048,animal tissue,mixed,"BLAST,MUSCLE,FastTree,Figtree",manual,mixed,
"Isolation and Characterization of Metallosphaera Turreted Icosahedral Virus, a Founding Member of a New Family of Archaeal Viruses","Wagner, C and Reddy, V and Asturias, F and Khoshouei, M and Johnson, JE and Manrique, P and Munson-McGee, J and Baumeister, W and Lawrence, CM and Young, MJ",Journal of Virology,2017, https://doi.org/10.1128/JVI.00925-17,hot spring,dsDNA,"Glimmer3,Geneious,BLASTn,BLASTp,BLASTx,Pfam,Hhpred,Phyre2",manual,NA,unclassified archael virus
Silage Collected from Dairy Farms Harbors an Abundance of Listeriaphages with Considerable Host Range and Genome Size Diversity,"Vongkamjan, K and Switt, AM and den Bakker, HC and Fortes, ED and Wiedmann, M",Applied and Environmental Microbiology,2012,https://doi.org/10.1128/AEM.01859-12,plant tissue,dsDNA,NA,NA,Herelleviridae,"Plaque assays, no sequence analysis"
High Interaction Variability of the Bivalve-Killing Dinoflagellate Heterocapsa circularisquama Strains and Their Single-Stranded RNA Virus HcRNAV Isolates,"Nakayama, N and Fujimoto, A and Kawami, H and Tomaru, Y and Hata, N and Nagasaki, K",Microbes and Environments,2013,https://doi.org/10.1264/jsme2.me12106,marine,ssRNA,"ClustalW,NJ plot ",manual,NA,unclassified Listeriaphage
New lipid envelope-containing dsDNA virus isolates infecting Micromonas pusilla reveal a separate phylogenetic group,"Martinez, JM and Boere, A and Gilg, L and van Lent, JWM and Witte, HJ and van Bleijswijk, JDL and Brussaard, CPD",Aquatic Microbial Ecology,2015,DOI:10.3354/ame01723,marine,dsDNA,NA,NA,Phycodnaviridae,"No sequencing, TEM"
Salmonella phages isolated from dairy farms in Thailand show wider host range than a comparable set of phages isolated from US dairy farms,"Wongsuntornpoj, S and Switt, AIM and Bergholz, P and Wiedmann, M and Chaturongakul, S",Veterinary Microbiology,2014,https://doi.org/10.1016/j.vetmic.2014.05.023,fecal,dsDNA,NA,NA,NA,"No sequencing, Salmonella phage - no specific taxa identified"
In vitro study of the replication capacity of the RGNNV and the SJNNV betanodavirus genotypes and their natural reassortants in response to temperature,"Panzarin, V and Cappellozza, E and Mancin, M and Milani, A and Toffan, A and Terregino, C and Cattoli, G",Veterinary Research,2014,https://doi.org/10.1186/1297-9716-45-56,animal tissue,psRNA,"MEGA4,PhyML",manual,Nodaviridae,"No sequencing, "
Isolation and characterization of soilborne virulent bacteriophages infecting the pathogen Rhodococcus equi,"Salifu, SP and Casey, SAC and Foley, S",Journal of Applied Microbiology,2013, https://doi.org/10.1111/jam.12194,soil,dsDNA,NA,NA,Siphoviridae,"No sequencing, TEM and plaque assays"
Comprehensive metagenomic insights into a unique mass gathering and bathing event reveals transient influence on a riverine ecosystem,"Yadav, R and Rajput, V and Gohil, K and Khairnar, K and Dharne, M",Ecotoxicology and Environmental Safety,2020,https://doi.org/10.1016/j.meegid.2017.06.017,freshwater,NA,"NanoARG,DIAMOND,Kaiju",manual,NA,Host identification only
Estimating the contribution of bacteriophage to the dissemination of antibiotic resistance genes in pig feces,"Wang, MZ and Liu, P and Zhou, Q and Tao, WY and Sun, YX and Zeng, ZL",Environmental Pollution,2018,https://doi.org/10.1016/j.envpol.2018.03.024,fecal,NA,NA,NA,NA,"Host identification only,  no sequencing of viral DNA"
Plankton networks driving carbon export in the oligotrophic ocean,"Guidi, L and Chaffron, S and Bittner, L and Eveillard, D and Larhlimi, A and Roux, S and Darzi, Y and Audic, S and Berline, L and Brum, JR and Coelho, LP and Espinoza, JCI and Malviya, S and Sunagawa, S and Dimier, C and Kandels-Lewis, S and Picheral, M and Poulain, J and Searson, S and Stemmann, L and Not, F and Hingamp, P and Speich, S and Follows, M and Karp-Boss, L and Boss, E and Ogata, H and Pesant, S and Weissenbach, J and Wincker, P and Acinas, SG and Bork, P and de Vargas, C and Iudicone, D and Sullivan, MB and Raes, J and Karsenti, E and Bowler, C and Gorsky, G",Nature,2016,https://doi.org/10.1038/nature16942,marine,NA,"BLASTp,Bowtie2",manual,NA,No viral taxa identified
Characterization of the Major Capsid Genes (g23) of T4-Type Bacteriophages in the Wetlands of Northeast China,"Zheng, CY and Wang, GH and Liu, JJ and Song, CC and Gao, HX and Liu, XB",Environmental Microbiology,2013,https://doi.org/10.1007/s00248-012-0158-z,"freshwater, soil ",dsDNA,"BLAST,CLustalX,MEGA3",manual,Myoviridae,
Identification and characterization of a new strain of nervous necrosis virus isolated from pearl gentian grouper (Epinephelus lanceolatus x Epinephelus fuscoguttatus) in China,"Xing, J and Zhang, ZQ and Sheng, XZ and Tang, XQ and Chi, H and Zhan, WB",Aquaculture,2020,https://doi.org/10.1016/j.aquaculture.2020.735663,animal tissue,psRNA,"BLAST,MegAlign,LaserGene",manual,Nodaviridae,
A novel freshwater cyanophage vB_MelS-Me-ZS1 infecting bloom-forming cyanobacteriumMicrocystis elabens,"Lin, W and Li, DF and Sun, ZT and Tong, YG and Yan, XJ and Wang, CL and Zhang, XLL and Pei, GQ",Molecular Biology Reports,2020,https://doi.org/10.1007/s11033-020-05876-8,marine,dsDNA,"BLASTp,HMMER,Hhpred",manual,Siphoviridae,
A novel deep-sea bacteriophage possesses features of Wbeta-like viruses and prophages,"Chen, YL and Guo, X and Wu, J and Jin, M and Zeng, RY",Archives of Virology,2020,https://doi.org/10.1007/s00705-020-04579-6,marine,dsDNA,"MetaGeneMark,BLASTp,IMG/VR",manual,Siphoviridae,
"Complete genome sequence of vB_DshP-R2C, a N4-like lytic roseophage","Cai, LL and Yang, YL and Jiao, NAZ and Zhang, R",Marine Genomics,2015,https://doi.org/10.1016/j.margen.2015.03.005,marine,dsDNA,NA,NA,Schitoviridae,No info given for sequence annotation
Evidence of Geobacter-associated phage in a uranium-contaminated aquifer,"Holmes, DE and Giloteaux, L and Chaurasia, AK and Williams, KH and Luef, B and Wilkins, MJ and Wrighton, KC and Thompson, CA and Comolli, LR and Lovley, DR",ISME Journal,2015,https://doi.org/10.1038/ismej.2014.128,groundwater,NA,"PHAST,Prophinder,BLASTp","PHAST,Prophinder",NA,unclassified phage
Abundant SAR11 viruses in the ocean,"Zhao, YL and Temperton, B and Thrash, JC and Schwalbach, MS and Vergin, KL and Landry, ZC and Ellisman, M and Deerinck, T and Sullivan, MB and Giovannoni, SJ",Nature,2013,https://doi.org/10.1038/nature11921,marine,dsDNA,"BLASTp,Glimmer,GeneMark,MUSCLE,ProtTest",manual,"Podoviridae,Myoviridae",
